easting,northing,abundance
577593.8,129095.2,0.2
580498.5,137599.3,0.2
577795.7,137395.5,0.2
579101.1,136303.5,3
578699.1,136499.2,0.01
578076,136824.3,0.01
578508.1,136447.7,0.2
572099.2,119498.8,0.2
571100.3,118396.6,0.2
580101.4,125999.7,0.2
572300.2,117997,0.2
572403.8,118198.8,37.5
581187.6,126615.4,0.2
579713.3,126380.6,0.2
577953.2,126367.3,0.2
579874,125137.7,3
579864.5,125055.5,3
579896.4,125666.6,0.2
578925.1,125419.7,0.01
580927.4,126331,0.2
578004.2,125329.5,0.2
579206.9,125090.7,0.2
576125,127300,3
577150,137549,3
572902,120547,3
578342,123919,0.2
575825,137074.4,0.01
580400,136150,0.2
